Area Name	SOC Code	SOC Title	Employment 
Connecticut	43-4171	Receptionists and Information Clerks	13,580
Connecticut	43-4181	Reservation and Transportation Ticket Agents and Travel Clerks	360
Connecticut	43-6014	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	24,640
Connecticut	43-5071	Shipping, Receiving, and Inventory Clerks	7,570
Connecticut	43-9111	Statistical Assistants	100
Connecticut	43-2011	Switchboard Operators, Including Answering Service	470
Connecticut	43-2021	Telephone Operators	50
Connecticut	43-3071	Tellers	3,620
Connecticut	43-5111	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	310
Connecticut	43-9022	Word Processors and Typists	240
Connecticut	45-0000	Farming, Fishing, and Forestry Occupations	750
Connecticut	45-2011	Agricultural Inspectors	20
Connecticut	45-2099	Agricultural Workers, All Other	20
Connecticut	45-2092	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	540
Connecticut	45-2093	Farmworkers, Farm, Ranch, and Aquacultural Animals	80
Connecticut	45-1011	First-Line Supervisors of Farming, Fishing, and Forestry Workers	60
Connecticut	45-4011	Forest and Conservation Workers	20
Connecticut	47-0000	Construction and Extraction Occupations	49,320
Connecticut	47-2011	Boilermakers	230
Connecticut	47-2021	Brickmasons and Blockmasons	440
Connecticut	47-2031	Carpenters	6,720
Connecticut	47-2041	Carpet Installers	60
Connecticut	47-2051	Cement Masons and Concrete Finishers	700
Connecticut	47-4011	Construction and Building Inspectors	900
Connecticut	47-2061	Construction Laborers	7,830
Connecticut	47-2081	Drywall and Ceiling Tile Installers	120
Connecticut	47-5023	Earth Drillers, Except Oil and Gas	80
Connecticut	47-2111	Electricians	7,160
Connecticut	47-5022	Excavating and Loading Machine and Dragline Operators, Surface Mining	110
Connecticut	47-5032	Explosives Workers, Ordnance Handling Experts, and Blasters	20
Connecticut	47-5099	Extraction Workers, All Other	10
Connecticut	47-1011	First-Line Supervisors of Construction Trades and Extraction Workers	6,270
Connecticut	47-2042	Floor Layers, Except Carpet, Wood, and Hard Tiles	130
Connecticut	47-2121	Glaziers	500
Connecticut	47-4041	Hazardous Materials Removal Workers	630
Connecticut	47-3019	Helpers, Construction Trades, All Other	80
Connecticut	47-3011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	110
Connecticut	47-3012	Helpers--Carpenters	50
Connecticut	47-3013	Helpers--Electricians	160
Connecticut	47-5081	Helpers--Extraction Workers	20
Connecticut	47-3015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	110
Connecticut	47-4051	Highway Maintenance Workers	2,080
Connecticut	47-2131	Insulation Workers, Floor, Ceiling, and Wall	280
Connecticut	47-2132	Insulation Workers, Mechanical	200
Connecticut	47-4090	Miscellaneous Construction and Related Workers	170
Connecticut	47-2073	Operating Engineers and Other Construction Equipment Operators	3,010
Connecticut	47-2141	Painters, Construction and Maintenance	1,840
Connecticut	47-2071	Paving, Surfacing, and Tamping Equipment Operators	N/A
Connecticut	47-2151	Pipelayers	30
Connecticut	47-2152	Plumbers, Pipefitters, and Steamfitters	4,960
Connecticut	47-2171	Reinforcing Iron and Rebar Workers	90
Connecticut	47-2181	Roofers	750
Connecticut	47-4071	Septic Tank Servicers and Sewer Pipe Cleaners	150
Connecticut	47-2211	Sheet Metal Workers	1,720
Connecticut	47-2231	Solar Photovoltaic Installers	110
Connecticut	47-2022	Stonemasons	200
Connecticut	47-2221	Structural Iron and Steel Workers	150
Connecticut	47-2082	Tapers	340
Connecticut	47-2044	Tile and Stone Setters	230
Connecticut	49-0000	Installation, Maintenance, and Repair Occupations	54,160
Connecticut	49-3011	Aircraft Mechanics and Service Technicians	1,160
Connecticut	49-2097	Audiovisual Equipment Installers and Repairers	420
Connecticut	49-3021	Automotive Body and Related Repairers	1,660
Connecticut	49-3022	Automotive Glass Installers and Repairers	20
Connecticut	49-3023	Automotive Service Technicians and Mechanics	7,450
Connecticut	49-2091	Avionics Technicians	N/A
Connecticut	49-3091	Bicycle Repairers	200
Connecticut	49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	2,840
Connecticut	49-9091	Coin, Vending, and Amusement Machine Servicers and Repairers	250
Connecticut	49-2011	Computer, Automated Teller, and Office Machine Repairers	480
Connecticut	49-9012	Control and Valve Installers and Repairers, Except Mechanical Door	680
Connecticut	49-2092	Electric Motor, Power Tool, and Related Repairers	80
Connecticut	49-2093	Electrical and Electronics Installers and Repairers, Transportation Equipment	70
Connecticut	49-2094	Electrical and Electronics Repairers, Commercial and Industrial Equipment	240
Connecticut	49-2095	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	330
Connecticut	49-9051	Electrical Power-Line Installers and Repairers	1,200
Connecticut	49-2096	Electronic Equipment Installers and Repairers, Motor Vehicles	30
Connecticut	49-3041	Farm Equipment Mechanics and Service Technicians	20
Connecticut	49-1011	First-Line Supervisors of Mechanics, Installers, and Repairers	6,160
Connecticut	49-9021	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	4,890
Connecticut	49-9098	Helpers--Installation, Maintenance, and Repair Workers	570
Connecticut	49-9031	Home Appliance Repairers	230
Connecticut	49-9041	Industrial Machinery Mechanics	3,060
Connecticut	49-9099	Installation, Maintenance, and Repair Workers, All Other	1,740
Connecticut	49-9094	Locksmiths and Safe Repairers	130
Connecticut	49-9071	Maintenance and Repair Workers, General	12,190
Connecticut	49-9043	Maintenance Workers, Machinery	600
Connecticut	49-9011	Mechanical Door Repairers	180
Connecticut	49-9062	Medical Equipment Repairers	730
Connecticut	49-9044	Millwrights	20
Connecticut	49-3042	Mobile Heavy Equipment Mechanics, Except Engines	630
Connecticut	49-3051	Motorboat Mechanics and Service Technicians	450
Connecticut	49-3052	Motorcycle Mechanics	100
Connecticut	49-9063	Musical Instrument Repairers and Tuners	100
Connecticut	49-3053	Outdoor Power Equipment and Other Small Engine Mechanics	420
Connecticut	49-9069	Precision Instrument and Equipment Repairers, All Other	120
Connecticut	49-2021	Radio, Cellular, and Tower Equipment Installers and Repairers	200
Connecticut	49-3092	Recreational Vehicle Service Technicians	N/A
Connecticut	49-9096	Riggers	240
Connecticut	49-2098	Security and Fire Alarm Systems Installers	420
Connecticut	49-2022	Telecommunications Equipment Installers and Repairers, Except Line Installers	2,060
Connecticut	49-9052	Telecommunications Line Installers and Repairers	840
Connecticut	49-3093	Tire Repairers and Changers	550
Connecticut	49-9064	Watch and Clock Repairers	N/A
Connecticut	51-0000	Production Occupations	89,630
Connecticut	51-9191	Adhesive Bonding Machine Operators and Tenders	70
Connecticut	51-2011	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	330
Connecticut	51-3011	Bakers	2,210
Connecticut	51-3021	Butchers and Meat Cutters	750
Connecticut	51-7011	Cabinetmakers and Bench Carpenters	550
Connecticut	51-9011	Chemical Equipment Operators and Tenders	710
Connecticut	51-8091	Chemical Plant and System Operators	50
Connecticut	51-9192	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	80
Connecticut	51-9124	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	1,150
Connecticut	51-2021	Coil Winders, Tapers, and Finishers	270
Connecticut	51-9161	Computer Numerically Controlled Tool Operators	3,970
Connecticut	51-9162	Computer Numerically Controlled Tool Programmers	520
Connecticut	51-9021	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	320
Connecticut	51-9031	Cutters and Trimmers, Hand	N/A
Connecticut	51-9032	Cutting and Slicing Machine Setters, Operators, and Tenders	450
Connecticut	51-4031	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	1,680
Connecticut	51-9081	Dental Laboratory Technicians	130
Connecticut	51-4032	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	140
Connecticut	51-2028	Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers	3,510
Connecticut	51-2031	Engine and Other Machine Assemblers	390
Connecticut	51-9194	Etchers and Engravers	N/A
Connecticut	51-4021	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	1,060
Connecticut	51-6091	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	10
Connecticut	51-9041	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	280
Connecticut	51-2051	Fiberglass Laminators and Fabricators	40
Connecticut	51-1011	First-Line Supervisors of Production and Operating Workers	8,820
Connecticut	51-3091	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	150
Connecticut	51-3092	Food Batchmakers	1,420
Connecticut	51-3093	Food Cooking Machine Operators and Tenders	180
Connecticut	51-3099	Food Processing Workers, All Other	200
Connecticut	51-4022	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	270
Connecticut	51-4071	Foundry Mold and Coremakers	N/A
Connecticut	51-9051	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	100
Connecticut	51-7021	Furniture Finishers	60
Connecticut	51-9022	Grinding and Polishing Workers, Hand	180
Connecticut	51-4033	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	1,890
Connecticut	51-4191	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	220
Connecticut	51-9198	Helpers--Production Workers	1,260
Connecticut	51-9061	Inspectors, Testers, Sorters, Samplers, and Weighers	8,920
Connecticut	51-9071	Jewelers and Precious Stone and Metal Workers	200
Connecticut	51-4034	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	1,160
Connecticut	51-6011	Laundry and Dry-Cleaning Workers	1,650
Connecticut	51-4041	Machinists	7,350
Connecticut	51-3022	Meat, Poultry, and Fish Cutters and Trimmers	400
Connecticut	51-9082	Medical Appliance Technicians	220
Connecticut	51-4199	Metal Workers and Plastic Workers, All Other	40
Connecticut	51-4051	Metal-Refining Furnace Operators and Tenders	40
Connecticut	51-4035	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	290
Connecticut	51-2090	Miscellaneous Assemblers and Fabricators	11,960
Connecticut	51-9023	Mixing and Blending Machine Setters, Operators, and Tenders	830
Connecticut	51-4061	Model Makers, Metal and Plastic	40
Connecticut	51-9195	Molders, Shapers, and Casters, Except Metal and Plastic	140
Connecticut	51-4072	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	1,410
Connecticut	51-4081	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	2,880
Connecticut	51-9083	Ophthalmic Laboratory Technicians	350
Connecticut	51-9111	Packaging and Filling Machine Operators and Tenders	1,860
Connecticut	51-9123	Painting, Coating, and Decorating Workers	160
Connecticut	51-9196	Paper Goods Machine Setters, Operators, and Tenders	850
Connecticut	51-8093	Petroleum Pump System Operators, Refinery Operators, and Gaugers	70
Connecticut	51-9151	Photographic Process Workers and Processing Machine Operators	40
Connecticut	51-8099	Plant and System Operators, All Other	130
Connecticut	51-4193	Plating Machine Setters, Operators, and Tenders, Metal and Plastic	560
Connecticut	51-8013	Power Plant Operators	260
Connecticut	51-5111	Prepress Technicians and Workers	290
Connecticut	51-6021	Pressers, Textile, Garment, and Related Materials	670
Connecticut	51-5113	Print Binding and Finishing Workers	710
Connecticut	51-5112	Printing Press Operators	1,760
Connecticut	51-9199	Production Workers, All Other	790
Connecticut	51-4023	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	510
Connecticut	51-7041	Sawing Machine Setters, Operators, and Tenders, Wood	120
Connecticut	51-9141	Semiconductor Processing Technicians	50
Connecticut	51-9012	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	270
Connecticut	51-6051	Sewers, Hand	20
Connecticut	51-6031	Sewing Machine Operators	770
Connecticut	51-3023	Slaughterers and Meat Packers	50
Connecticut	51-8021	Stationary Engineers and Boiler Operators	240
Connecticut	51-2041	Structural Metal Fabricators and Fitters	450
Connecticut	51-6052	Tailors, Dressmakers, and Custom Sewers	220
Connecticut	51-6061	Textile Bleaching and Dyeing Machine Operators and Tenders	90
Connecticut	51-6062	Textile Cutting Machine Setters, Operators, and Tenders	60
Connecticut	51-6063	Textile Knitting and Weaving Machine Setters, Operators, and Tenders	70
Connecticut	51-6099	Textile, Apparel, and Furnishings Workers, All Other	30
Connecticut	51-4111	Tool and Die Makers	2,050
Connecticut	51-4194	Tool Grinders, Filers, and Sharpeners	50
Connecticut	51-6093	Upholsterers	290
Connecticut	51-8031	Water and Wastewater Treatment Plant and System Operators	970
Connecticut	51-4121	Welders, Cutters, Solderers, and Brazers	2,280
Connecticut	51-4122	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	220
Connecticut	51-7042	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	220
Connecticut	53-0000	Transportation and Material Moving Occupations	123,320
Connecticut	53-2021	Air Traffic Controllers	80
Connecticut	53-2011	Airline Pilots, Copilots, and Flight Engineers	140
Connecticut	53-3011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	20
Connecticut	53-6031	Automotive and Watercraft Service Attendants	580
Connecticut	53-6011	Bridge and Lock Tenders	30
Connecticut	53-3051	Bus Drivers, School	5,430
Connecticut	53-3052	Bus Drivers, Transit and Intercity	2,460
Connecticut	53-5021	Captains, Mates, and Pilots of Water Vessels	300
Connecticut	53-7061	Cleaners of Vehicles and Equipment	2,840
Connecticut	53-2012	Commercial Pilots	280
Connecticut	53-7021	Crane and Tower Operators	340
Connecticut	53-3031	Driver/Sales Workers	4,010
Connecticut	53-1047	First-Line Supervisors of Transportation and Material-Moving Workers, Except Aircraft Cargo Handling Supervisors	5,790
Connecticut	53-2031	Flight Attendants	210
Connecticut	53-7071	Gas Compressor and Gas Pumping Station Operators	N/A
Connecticut	53-3032	Heavy and Tractor-Trailer Truck Drivers	15,150
Connecticut	53-7051	Industrial Truck and Tractor Operators	2,370
Connecticut	53-7062	Laborers and Freight, Stock, and Material Movers, Hand	26,350
Connecticut	53-3033	Light Truck Drivers	10,440
Connecticut	53-4011	Locomotive Engineers	420
Connecticut	53-7063	Machine Feeders and Offbearers	N/A
Connecticut	53-7199	Material Moving Workers, All Other	40
Connecticut	53-3099	Motor Vehicle Operators, All Other	350
Connecticut	53-5022	Motorboat Operators	N/A
Connecticut	53-7064	Packers and Packagers, Hand	4,670
Connecticut	53-6021	Parking Attendants	920
Connecticut	53-6061	Passenger Attendants	180
Connecticut	53-7081	Refuse and Recyclable Material Collectors	670
Connecticut	53-5011	Sailors and Marine Oilers	360
Connecticut	53-5031	Ship Engineers	40
Connecticut	53-3053	Shuttle Drivers and Chauffeurs	3,790
Connecticut	53-7065	Stockers and Order Fillers	33,520
Connecticut	53-6041	Traffic Technicians	80
Connecticut	53-6051	Transportation Inspectors	180
Connecticut	53-6099	Transportation Workers, All Other	40
